code,latitude,longitude
00701899999,+00.000,+000.000
00702699999,+00.000,+000.000
00707099999,+00.000,+000.000
00826099999,+00.000,+000.000
00826899999,+32.950,+065.567
00830799999,+00.000,+000.000
01001099999,+70.933,-008.667
01001499999,+59.792,+005.341
01001599999,+61.383,+005.867
01001699999,+64.850,+011.233
01001799999,+59.980,+002.250
01002099999,+80.050,+016.250
01003099999,+77.000,+015.500
01004099999,+78.917,+011.933
01005099999,+78.067,+013.633
01006099999,+78.250,+022.817
01007099999,+78.917,+011.933
01007199999,+78.217,+015.583
01008099999,+78.246,+015.466
01009099999,+80.650,+025.000
01010099999,+69.293,+016.144
01011099999,+80.067,+031.500
01014099999,+69.233,+017.900
01015099999,+69.600,+017.833
01016099999,+78.933,+028.900
01017099999,+77.683,+014.783
01017199999,+69.350,+018.083
01019099999,+77.517,+020.817
01020099999,+76.483,+016.550
01023099999,+69.056,+018.540
01023199999,+64.350,+007.800
01024099999,+78.650,+016.367
01025099999,+69.683,+018.919
01026099999,+69.650,+018.933
01027099999,+69.650,+018.900
01028099999,+74.517,+019.017
01030099999,+69.283,+018.133
01030399999,+69.700,+019.017
01032099999,+69.017,+019.283
01033099999,+70.250,+019.500
01034099999,+70.317,+020.150
01035099999,+69.567,+020.100
01036099999,+69.567,+020.433
01036199999,+69.367,+020.267
01037099999,+69.383,+020.283
01040099999,+70.033,+020.983
01041099999,+69.733,+021.017
01042099999,+70.600,+022.450
01043099999,+70.417,+022.817
01043199999,+70.333,+021.467
01043599999,+70.483,+022.150
01044099999,+70.487,+022.140
01045099999,+69.833,+021.883
01046099999,+69.787,+020.959
01047099999,+69.017,+023.067
01049099999,+69.976,+023.372
01051099999,+69.583,+023.533
01052099999,+70.683,+023.683
01053099999,+70.683,+023.683
01055099999,+71.100,+023.983
01057099999,+69.367,+024.433
01058099999,+69.567,+023.533
01059099999,+70.069,+024.973
01061099999,+70.067,+025.117
01062099999,+76.500,+025.067
01063099999,+70.450,+025.217
01065099999,+69.467,+025.517
01066099999,+71.067,+026.233
01067099999,+69.900,+026.417
01067199999,+69.900,+026.417
01068099999,+71.017,+025.983
01074099999,+71.033,+027.833
01075099999,+70.400,+028.200
01076099999,+70.217,+028.167
01078099999,+71.100,+028.233
01082099999,+69.150,+029.250
01083099999,+70.867,+029.033
01084099999,+69.450,+030.033
01085099999,+69.850,+029.417
01086099999,+70.600,+029.693
01087599999,+59.567,+002.217
01087699999,+66.017,+008.083
01087799999,+60.633,+003.717
01087899999,+61.450,+002.133
01087999999,+61.533,+002.200
01088099999,+70.067,+029.850
01088199999,+68.467,+017.500
01088299999,+62.578,+011.342
01088399999,+61.833,+006.117
01088499999,+59.185,+009.567
01088599999,+70.600,+029.733
01088699999,+58.367,+001.900
01088799999,+60.886,+003.610
01089099999,+69.726,+029.893
01092099999,+70.700,+030.083
01097099999,+70.350,+031.050
01098099999,+70.367,+031.100
01099099999,+70.355,+031.045
01102099999,+65.200,+011.000
01102599999,+65.333,+007.317
01103099999,+65.100,+011.700
01104099999,+68.367,+015.950
01105099999,+68.367,+015.950
01105199999,+67.417,+011.883
01106099999,+67.517,+012.100
01107099999,+67.517,+012.100
01108099999,+65.700,+011.850
01109099999,+65.867,+012.183
01110099999,+66.000,+011.683
01111099999,+65.467,+012.217
01112099999,+65.461,+012.218
01113099999,+66.800,+013.983
01113399999,+60.417,+008.513
01114099999,+66.900,+013.633
01115099999,+66.767,+012.483
01116099999,+65.950,+012.467
01117099999,+65.817,+012.417
01121099999,+66.367,+012.617
01122099999,+65.784,+013.215
01124099999,+64.167,+012.467
01131099999,+67.883,+013.050
01132099999,+65.167,+013.367
01133099999,+65.617,+013.283
01134099999,+65.183,+013.417
01135099999,+66.117,+013.583
01137099999,+66.933,+013.450
01138099999,+67.300,+013.500
01139099999,+67.650,+012.717
01141099999,+68.150,+013.617
01143099999,+68.050,+016.083
01144099999,+67.400,+013.883
01145099999,+68.350,+013.967
01146099999,+66.233,+013.883
01147099999,+65.833,+014.183
01148099999,+66.383,+014.517
01149099999,+66.333,+014.100
01150099999,+66.500,+014.950
01150199999,+65.683,+014.167
01151099999,+66.367,+014.300
01152099999,+67.269,+014.365
01153099999,+67.283,+014.450
01154099999,+68.583,+014.300
01155099999,+68.633,+014.467
01156099999,+68.600,+014.433
01158099999,+67.167,+015.483
01160099999,+68.150,+014.650
01161099999,+68.250,+014.667
01162099999,+68.583,+015.017
01163099999,+66.500,+015.250
01165099999,+67.833,+014.783
01167099999,+68.700,+015.417
01168099999,+68.650,+015.283
01169099999,+66.933,+015.317
01169199999,+66.967,+015.317
01170099999,+67.233,+015.317
01172099999,+68.000,+015.617
01175199999,+68.400,+016.000
01176099999,+68.567,+016.267
01180099999,+68.800,+016.533
01182099999,+68.583,+016.583
01183099999,+68.491,+016.678
01184099999,+68.933,+016.683
01184199999,+68.933,+016.683
01189099999,+68.483,+016.883
01191099999,+68.283,+017.317
01192099999,+68.417,+017.650
01193099999,+68.467,+017.500
01194099999,+68.467,+017.500
01196099999,+68.750,+017.817
01198099999,+68.783,+019.700
01199099999,+68.750,+023.533
01203099999,+62.033,+004.983
01205099999,+62.333,+005.267
01207099999,+62.100,+005.583
01209099999,+62.183,+006.067
01209199999,+62.183,+006.050
01210099999,+62.560,+006.110
01212099999,+62.867,+006.533
01214099999,+62.650,+006.767
01215099999,+62.620,+007.230
01216099999,+62.617,+007.217
01216199999,+62.617,+007.167
01217099999,+62.745,+007.263
01218099999,+62.233,+007.417
01220099999,+62.450,+007.767
01221099999,+63.050,+009.083
01223099999,+63.112,+007.825
01224099999,+62.467,+006.217
01225099999,+63.517,+007.950
01227099999,+62.717,+008.783
01227399999,+62.833,+008.300
01228099999,+63.850,+008.467
01230099999,+62.267,+008.200
01231099999,+62.233,+008.367
01232099999,+62.450,+007.850
01233099999,+62.083,+009.117
01234099999,+63.317,+009.850
01235099999,+62.083,+009.133
01236099999,+62.100,+009.050
01237099999,+63.517,+009.117
01238099999,+62.117,+009.283
01239099999,+62.217,+009.550
01240099999,+64.167,+009.400
01241099999,+63.699,+009.604
01242099999,+63.967,+010.217
01243099999,+63.333,+009.650
01245099999,+62.600,+009.667
01248099999,+63.850,+009.733
01250099999,+62.133,+010.000
01252099999,+62.817,+010.017
01253099999,+62.950,+010.183
01254099999,+62.983,+010.550
01257099999,+63.417,+010.450
01258099999,+63.417,+010.433
01259099999,+64.400,+010.450
01262099999,+64.800,+010.550
01265099999,+62.267,+010.733
01270099999,+63.483,+010.883
01271099999,+63.458,+010.940
01272099999,+63.567,+010.700
01273099999,+63.233,+011.017
01274099999,+63.200,+011.117
01277099999,+64.017,+011.450
01277199999,+63.717,+011.233
01278099999,+63.783,+011.683
01280099999,+64.133,+011.333
01281099999,+64.733,+012.850
01282099999,+64.850,+011.233
01282399999,+64.850,+011.233
01287099999,+62.683,+011.817
01288099999,+62.567,+011.383
01289099999,+62.583,+011.350
01289199999,+62.583,+011.383
01290099999,+64.467,+011.583
01291099999,+64.533,+012.383
01292099999,+63.417,+011.700
